mayesh_product_id,mayesh_product_name,ibf_product_id,ibf_product_name,similarity_score
1004596,Ruscus Italian Green,d7583b3b-5a47-42ca-b83d-9cb4f880a768,Ruscus Italian Green,1.0
1004596,Ruscus Italian Green,d7583b3b-5a47-42ca-b83d-9cb4f880a768,Ruscus Italian Green,1.0
1078860,Scabiosa Milky Scoop White,d5f7aa0e-8ef7-4032-b945-e492bf84a175,Scabiosa Milky Scoop White,1.0
1078861,Scabiosa Milky Scoop White,d5f7aa0e-8ef7-4032-b945-e492bf84a175,Scabiosa Milky Scoop White,1.0
645623,Stock Pink,2e077bc0-d072-44ef-ae0b-3d4c639387b5,Stock Pink,1.0
517817,Strawflower Yellow,a2355239-baf9-4657-9089-2e7439497fe2,Strawflower Yellow,1.0
489347,Trachelium White,100a588d-2d2c-42d1-b30b-7a5e0e07a25f,Trachelium White,1.0
513026,Veronica Pink,9d57cd8b-410a-4281-80cf-a66024c543ae,Veronica Pink,1.0
513027,Veronica Purple,b88b58c0-5fb8-435d-91a8-d74abbf01d12,Veronica Purple,1.0
513028,Veronica White,1767e95a-c83f-4fdb-b85d-27157a044a90,Veronica White,1.0
513028,Veronica White,1767e95a-c83f-4fdb-b85d-27157a044a90,Veronica White,1.0
966686,Yarrow Yellow,3b885ab7-cd80-4502-a3e9-248a9a08772f,Yarrow Yellow,1.0
966686,Yarrow Yellow,3b885ab7-cd80-4502-a3e9-248a9a08772f,Yarrow Yellow,1.0
966686,Yarrow Yellow,3b885ab7-cd80-4502-a3e9-248a9a08772f,Yarrow Yellow,1.0
889280,Delphinium Elatum Black Velvet Purple,3185b3b3-66a8-4392-a083-5cf80e44f90f,Delphinium Elatum Black Velvet Dark Purple,0.991
510047,Protea Pink Ice Pink,b908fa53-9cc1-4384-a0c5-71f5e8fc62d8,Protea Ice Pink,0.987
887967,Scabiosa Cotton Candy Scoop Pink,30e6b64f-3e8d-4d22-b0d0-9d6d434087fd,Scabiosa Candy Scoop Pink,0.986
485117,Hydrangea White Jumbo,c12bdfe4-19a6-4199-9cfb-f82ebe74ab67,Hydrangea Jumbo White,0.983
488905,Spray Rose Majolika Light Pink,96c6b8ba-c1ef-4f84-838e-e753fd3cc71d,Spray Roses Majolika Light Pink,0.983
490140,Rose Garden Garden Spirit Blush,ff23babb-67ec-438c-a48e-480d8fd4f44b,Roses Garden Spirit Blush,0.982
490165,Rose Garden Garden Spirit Blush,ff23babb-67ec-438c-a48e-480d8fd4f44b,Roses Garden Spirit Blush,0.982
3395099,Spray Rose Floreana White,8fa753ab-5273-4115-962a-3e5688f4db42,Spray Roses Floreana White,0.981
485398,Mini Carnation Peppermint,4c480713-cbb6-49b6-92e2-786c7bc43b1e,Mini Carnation Peppermint Peppermint Peppermint,0.979
488909,Spray Rose Mambo Orange,69b40e96-63e0-489d-8704-6ab6a4bf94af,Spray Roses Mambo Orange,0.979
488910,Spray Rose Mambo Orange,69b40e96-63e0-489d-8704-6ab6a4bf94af,Spray Roses Mambo Orange,0.979
