ibf_product_name,variety_key,name,color_name_cleaned,variety_cleaned
Tulips Double Sambuca Pink,347582a7-a08f-4823-9a9a-9f04f115215b,Tulips Double Sambuca pink - multiple,Pink,Tulips Double Sambuca
Hydrangea Antique Jumbo Blue,9855007c-489a-4b17-93c3-39127729f760,Hydrangea Antique Blue Jumbo (20-24 cm) blue - multiple,Blue,Hydrangea Antique Jumbo
Bouquets Garden Roses Campanella Hearts Mixed,68e8576a-1c78-4929-b409-44f102cab955,Bouquets 12 Garden Roses Campanella (6) & Hearts (6) mixed,Mixed,Bouquets Garden Roses Campanella Hearts
Rose Petals Fresh Petals Yellow,e1a4277f-b032-4414-9b2a-d29c6abc3dcc,Rose Petals Fresh Petals Yellow (900 Petals/ Plastic Bag) yellow,Yellow,Rose Petals Fresh Petals
Dianthus Raffine Petit Pia Light Pink,dd35488e-f01a-46b3-b7d4-4936508a162d,Dianthus Raffine Petit Pia pink - light,Light Pink,Dianthus Raffine Petit Pia
Hydrangea Tinted Dark Orange,2b6467a2-f93c-46dd-86df-3236a70196d5,Hydrangea tinted Orange (airbrushed)  (tinted) orange - dark,Dark Orange,Hydrangea Tinted
Cattails Cattails Green,608efa29-4ba2-459d-8844-c6f1d3594246,Cattails Cattails green - multiple,Green,Cattails Cattails
Pine Cedar Green,fecd8439-3b63-43c9-b26c-5224abead16e,Pine Cedar green,Green,Pine Cedar
Heliconia Iris Red,588c3276-31bb-490d-90b7-11492db7f7b6,Heliconia Iris red,Red,Heliconia Iris
Phalaenopsis Anthura Montreux Cerise Cerise,8dbc2c28-cc0a-4977-a5c9-80fbab5460d4,Phalaenopsis Anthura Montreux cerise,Cerise,Phalaenopsis Anthura Montreux Cerise
Cosmos Black Beauty Black Black,73912c40-8bad-430d-b8dd-50f6eed315e8,Cosmos Black Beauty black,Black,Cosmos Black Beauty Black
Waxflower Pride Purple,c2c58506-5945-476d-beb0-1598f077fdc9,Waxflower Purple Pride purple,Purple,Waxflower Pride
Allium Senseation Purple,eacc9366-c652-48b8-acd6-fd22d53f2e19,Allium Purple Senseation purple,Purple,Allium Senseation
Lilies Asiatic Lilies Asiatic Asiatic Starfighter Oriental Mixed,efb268a8-75b8-4812-beb1-64a537da89cf,"Lilies Asiatic Lilies Asiatic 3 Asiatic Assorted, 2 Starfighter, 1 Oriental White 3/5 bl mixed",Mixed,Lilies Asiatic Lilies Asiatic Asiatic Starfighter Oriental
Chrysanthemum Spray Pom Button Fall Mixed,a86373f1-7ab5-4165-bc99-4edc03f0fd94,Chrysanthemum Spray Pom Button Fall Assorted mixed,Mixed,Chrysanthemum Spray Pom Button Fall
Larkspur Perfection Pink,7ea0927f-d455-43a2-871f-a0c81ea08af4,Larkspur Pink Perfection pink,Pink,Larkspur Perfection
Dianthus Star Ruby Tessino Red,1142d53f-fb8f-4f55-afee-3b7233040589,Dianthus Star Ruby Tessino red - multiple,Red,Dianthus Star Ruby Tessino
Roses Cuenca Peach,075f1534-111e-4339-adf8-f3f773d99b42,Roses Cuenca peach,Peach,Roses Cuenca
Pincushion Proteas Dust Red,fb75e90b-e636-467d-8ab8-280710ca1046,Pincushion Proteas Gold Dust red,Red,Pincushion Proteas Dust
Mokara Lawaii Yellow,fb9fa62b-ff46-4a07-bec1-9087a2c4afff,Mokara Lawaii (stem) yellow,Yellow,Mokara Lawaii
Tulips Single Jacuzzi Purple,cbb0d6bc-84a9-4859-b2ce-33133e00fede,Tulips Single Jacuzzi purple,Purple,Tulips Single Jacuzzi
Hydrangea Emerald Variegated Select Variegated Variegated,ca925719-4595-40e7-98d6-1cb766d6ec9e,Hydrangea Emerald Variegated Select (16-17 cm) variegated,Variegated,Hydrangea Emerald Variegated Select Variegated
Philodendron Lemon Lime Lime Green,22d6070f-3915-47b8-9a2b-464ef5be13cd,Philodendron Lemon lime green,Lime Green,Philodendron Lemon Lime
Limonium Pina Colada Purple,1c09d03f-3830-49a5-9dab-80c7210d8a7a,Limonium Pina Colada Purple (tinted/ dyed) purple,Purple,Limonium Pina Colada
Hydrangea Yellow,d281e72b-a46d-4de0-b1de-ffcea13e7c05,Hydrangea Yellow (Airbrushed) (Tinted/ Dyed) yellow,Yellow,Hydrangea
Garden Roses Piano Pink,99c8bf60-10ec-4886-a247-fea026017662,Garden Roses Pink piano pink,Pink,Garden Roses Piano
Lily Of The Valley White,56222d6f-e784-480f-8eb4-f35ba03ee97d,Lily of the valley White white,White,Lily Of The Valley
Gerbera Large Flowered Mariatta Pink,2a120337-ecc8-48cb-a1af-550b2da264b8,Gerbera Large Flowered Mariatta pink,Pink,Gerbera Large Flowered Mariatta
Peony Hawaiian Coral,a37f0f59-bc6e-4ed1-85a4-74382a4a8cd7,Peony Pink Hawaiian Coral coral,Coral,Peony Hawaiian
Roses Turtle Yellow,1c727f20-25f0-4315-83dd-a6c0a20ff4ea,Roses Turtle yellow,Yellow,Roses Turtle
Agapanthus Blue,b7bfd76a-e2e2-4f50-a71d-d12d3bfd7e14,Agapanthus Blue blue,Blue,Agapanthus
Roses Mixed,5ccf55b2-2672-4ea8-9c87-147cf42d6b10,"Roses Assorted (25 Freedom, 75 Farm Choice) mixed",Mixed,Roses
Mini Calla Black Black Black,f43a2f7c-75e5-4bd6-9563-3d4a85702448,Mini Calla Black black,Black,Mini Calla Black Black
Billy Balls Light Light Blue,834e5499-617c-4555-ba6d-726d848a7993,Billy Balls Light Blue (tinted/ dyed) blue - light,Light Blue,Billy Balls Light
Star Thistle Orion Questar Blue,de20f6e7-d5d7-4947-a699-157fd324ba75,Star Thistle Orion Questar blue,Blue,Star Thistle Orion Questar
Scabiosa Stellata Pods Brown Brown,0edd276f-0ffa-4dfe-8e00-0f0f1107693c,Scabiosa Stellata Pods (zaaddoos) brown,Brown,Scabiosa Stellata Pods Brown
Gladiolus Colvillei Charm Pink,150c1412-06e8-44b3-8327-91f64441d23f,Gladiolus Colvillei Charm pink,Pink,Gladiolus Colvillei Charm
Chrysanthemum Spray Pom Cushion Logic Purple,fc8de36f-a9ee-4e0c-9c22-08e67303923f,Chrysanthemum Spray Pom Cushion Logic purple,Purple,Chrysanthemum Spray Pom Cushion Logic
Mini Calla Honeymoon Salmon Salmon,45d9bc71-37d6-4a56-b6ac-ec6498ceb938,Mini Calla Honeymoon salmon,Salmon,Mini Calla Honeymoon Salmon
Sage Mixed,3fe093a8-13c5-409d-826a-66d54e79643e,Sage Assorted (Tinted/ Dyed) mixed,Mixed,Sage
Rice Flower Cooks Snow White,2d96df28-b1dd-4e20-8bab-a568e4dd461c,Rice Flower Cooks Snow white,White,Rice Flower Cooks Snow
Chrysanthemum Spray Pom Daisy Lolita Red,a6ee9f44-7198-4ceb-9c56-0d7ce0491213,Chrysanthemum Spray Pom Daisy Lolita red,Red,Chrysanthemum Spray Pom Daisy Lolita
Chrysanthemum Spray Pom Daisy Union Orange,558663b6-3e10-433d-ba9c-a9fa2fb09b88,Chrysanthemum Spray Pom Daisy Union orange,Orange,Chrysanthemum Spray Pom Daisy Union
Tulips Single Prince White,fde31643-dfdc-49d1-8304-2909c4b7ecdc,Tulips Single White Prince white,White,Tulips Single Prince
Kalanchoe Warm Meadow Yellow,ee82b303-b37e-45de-b717-ed8d5bf9e779,Kalanchoe (cut) Warm Yellow Meadow yellow,Yellow,Kalanchoe Warm Meadow
Roses Highlight White,356f2bd3-fa74-42ff-9a91-2169ef2a3966,Roses Highlight white,White,Roses Highlight
Aranthera Maggie Oei Yellow,5b8e2765-71b6-487c-a415-bc699265d988,Aranthera Maggie Oei yellow - multiple,Yellow,Aranthera Maggie Oei
Gypsophilia Xlence Yellow,9e655142-0577-4df3-bd53-f8e970e56407,Gypsophilia (Babys breath) Xlence Yellow 250 gr. (tinted/ dyed) 7 st/bu yellow,Yellow,Gypsophilia Xlence
Roses Cupcake Love Pink,159bc5e5-e834-4e23-84d3-7505b58177a8,Roses Cupcake Love Assorted - DO NOT EAT!! pink - multiple,Pink,Roses Cupcake Love
Billy Balls Dark Dark Green,805f6544-405d-4d09-85bd-c5003ff1e24c,Billy Balls Dark Green (tinted/ dyed) green - dark,Dark Green,Billy Balls Dark
Lilies Oriental Snowboard White,76e24b65-0f6a-4da5-a64e-c262840b45c7,Lilies Oriental Snowboard (Double) 3/5 Bl white,White,Lilies Oriental Snowboard
Myrtle Melaluca Grey Gray Gray,ffd03407-c288-4abc-84ee-2d17d995e1bd,Myrtle Melaluca Grey gray,Gray,Myrtle Melaluca Grey Gray
Waxflower Pixie Moon Pink,c4632790-c040-483d-a279-75ec4a2f5a1f,Waxflower Pixie Moon pink,Pink,Waxflower Pixie Moon
Gypsophilia Xlence Red,7328f3fc-e177-49ad-80f5-fdde4481a1db,Gypsophilia (Babys breath) Xlence Red 250 gr. (tinted/ dyed) 6 st/bu red,Red,Gypsophilia Xlence
Bouquets Exclusive Line Spring Motherly Love Pink,cfd48d0c-cc64-4cf7-b692-d3450319283b,Bouquets Exclusive Line Spring Motherly Love pink - multiple,Pink,Bouquets Exclusive Line Spring Motherly Love
Kangaroo Paws Orange,74f282cb-ba43-4400-a9b3-cb12868604e2,Kangaroo Paws Orange orange,Orange,Kangaroo Paws
Chrysanthemum Spray Pom Cushion Fall Mixed,f89b48ec-a888-446c-88bf-83beffdcd06d,Chrysanthemum Spray Pom Cushion Fall Assorted mixed,Mixed,Chrysanthemum Spray Pom Cushion Fall
Rose Petals Mixed,4b3cb03e-de16-4bfd-b392-15166e1467bb,Rose Petals Assorted  (900 Petals/ Plastic Bag) mixed,Mixed,Rose Petals
Lisianthus Single Botanic Pink,a6fe8727-a0e6-48cc-a257-a4ada42199a8,Lisianthus Single Botanic Pink pink,Pink,Lisianthus Single Botanic
Preserved Roses Yellow,0c7f56c3-45c1-4762-b181-9a543c82997d,Preserved Roses Yellow yellow,Yellow,Preserved Roses
Dried And Preserved Flowers Pampas Light Pink,a5ab3ab4-62bc-47ad-b91e-d1d59ecc1f4e,Dried and Preserved Flowers Pampas Light Pink (tinted/ Dyed) pink - light,Light Pink,Dried And Preserved Flowers Pampas
Lisianthus Single Piccolo Violet Dark Purple,0908502c-53ef-4e01-97b6-9b9e7b92ee4b,Lisianthus Single Piccolo Violet purple - dark,Dark Purple,Lisianthus Single Piccolo Violet
Roses Engagement Pink,ae53b478-18f4-40d4-9601-80373ecd38c1,Roses Engagement (Pink to Peach Color) pink - multiple,Pink,Roses Engagement
Tulips Double Libretto Double Salmon Salmon,14672f48-5d36-4d93-8289-bef4c6d04620,Tulips Double Libretto Double salmon,Salmon,Tulips Double Libretto Double Salmon
Roses Bonfire Orange,aa1072c1-1db6-4e9a-8495-b8ae7211c3f4,Roses Bonfire orange,Orange,Roses Bonfire
Roses Dijon Yellow,c5373947-f1b4-4049-a734-64a32584cb4f,Roses Dijon yellow - multiple,Yellow,Roses Dijon
Astilbe Amethyst Lavender,804af1e5-8bd6-4bd4-9844-6ce052ea799a,Astilbe Amethyst lavender - multiple,Lavender,Astilbe Amethyst
Hydrangea Dark Pink,0ac0208b-4c88-444d-b774-d3d5ff983fc0,Hydrangea Dark pink pink - dark,Dark Pink,Hydrangea
Bouquets Exclusive Line Spring Dreams Salmon Salmon,60e1ff37-3992-4b68-8ced-ae047cec8fd7,Bouquets Exclusive Line Spring Dreams salmon,Salmon,Bouquets Exclusive Line Spring Dreams Salmon
Lysimachia Elisabeth White,f9cdc4b3-cd96-4e2d-8c41-361f5f7c82cf,Lysimachia Elisabeth white,White,Lysimachia Elisabeth
Astilbe Washington White,580ab69f-dce0-42d5-8c7d-ec13b8dfd73c,Astilbe Washington white,White,Astilbe Washington
Roses Confidential Orange,3a5a03b6-4ba0-4f6e-863f-dcdf48d1317b,Roses Confidential orange,Orange,Roses Confidential
Garden Spray Roses Salinero Cream,18d29e18-f414-4ccf-8b88-d2365ab9aa51,Garden Spray Roses Salinero cream,Cream,Garden Spray Roses Salinero
Dendrobium Hybrid Bom Orange,79e578bf-7ddd-48b0-9f13-12132b935626,Dendrobium Hybrid Bom Orange (Stem ) (tinted/ dyed) orange,Orange,Dendrobium Hybrid Bom
Eucalyptus Doll Cluster Light Green,7b4f12d7-33ad-459c-8b25-e77bcea8181d,Eucalyptus Doll Cluster green - light,Light Green,Eucalyptus Doll Cluster
Lisianthus Double Rosanne Black Pearl Purple,dd69760f-bb21-4aab-8c14-c962ed0d7a90,Lisianthus Double Rosanne Black Pearl purple - multiple,Purple,Lisianthus Double Rosanne Black Pearl
Peony White,9cb310a4-748c-4e81-a1ce-6f5c97d03fd5,Peony Assorted (White/ Pink/ Blush) white - multiple,White,Peony
Rose Petals Fresh Petals Yellow,3cf93017-5cd9-46b8-89cd-8ec2b9fcc24c,Rose Petals Fresh Petals Yellow (360 Petals/ Plastic Bag) yellow,Yellow,Rose Petals Fresh Petals
Iris White,228a76db-dd11-4c3f-a8dc-05fc2e1a6fdf,Iris White white,White,Iris
Roses Aubade Orange,4ff541cb-df9d-40b1-b796-b793d387b624,Roses Aubade (orange-cream) orange - multiple,Orange,Roses Aubade
Dried Products Chili Fat Light Orange,4ac026b7-1c97-41d7-b2db-a8e6f2844721,"Dried Products Chili Fat 8"" Orange (bag) orange - light",Light Orange,Dried Products Chili Fat
Hypericum Coco Tango Red,495220ed-fafb-414a-8b0b-5cf45b467882,Hypericum Coco Tango red,Red,Hypericum Coco Tango
Roses Imagination Coral,0b5aee06-c8d2-46a2-b8b0-875117cedb39,Roses Imagination coral,Coral,Roses Imagination
Gerbera Mini Piccolini Linosa Aqua Pink,29a8af97-b881-400a-bb15-33671104f8c0,Gerbera Mini Piccolini Linosa Aqua pink,Pink,Gerbera Mini Piccolini Linosa Aqua
Bouquets Fuego Mixed,6c4a7de2-fe27-45d8-b48b-5e3236d26eb6,Bouquets Fuego mixed,Mixed,Bouquets Fuego
Hydrangea Pink,51444b12-ae50-4ce6-b1a3-b0137b0b59f7,Hydrangea Hot Pink (Airbrushed) (Tinted/ Dyed) pink - multiple,Pink,Hydrangea
Protea King Pink,b71bbfd2-feb4-4bd1-9974-9c9fbb92c295,Protea King pink,Pink,Protea King
Mini Calla Sumatra Burgundy,bb39eccf-ca0b-466a-a7ea-2c5dd1214fe0,Mini Calla Sumatra burgundy,Burgundy,Mini Calla Sumatra
Star Thistle Aquarius Questar Blue,4afb5b05-d70f-44b6-b1b7-44d3b0cd7c49,Star Thistle Aquarius Questar blue,Blue,Star Thistle Aquarius Questar
Chrysanthemum Spray Pom Daisy Brahama Red,2382d368-24e2-43f6-830f-6cdcb2929f5b,Chrysanthemum Spray Pom Daisy Brahama red,Red,Chrysanthemum Spray Pom Daisy Brahama
Cymbidium Mini Carioca Yellow,653c853d-c14a-4273-b08e-1e7e4eb1ef70,Cymbidium Mini Carioca yellow,Yellow,Cymbidium Mini Carioca
Curcuma Siam Shine White,9f924acc-c053-4a8e-bbb7-43019a453b69,Curcuma Siam Shine white,White,Curcuma Siam Shine
Carnation Anov Lagoon Blue,83816d5d-0bfe-4506-96c2-db08c6820405,Carnation Anov Blue Lagoon (Tinted/ Dyed) blue - multiple,Blue,Carnation Anov Lagoon
Phalaenopsis Anthura Montreux Purple,5d74d24b-603c-4bea-a471-8dcac605218c,Phalaenopsis Anthura Montreux purple,Purple,Phalaenopsis Anthura Montreux
Gerbera Large Flowered Alliance Salmon Salmon,dd8dd464-0eee-4493-af00-65e3aa7e9b73,Gerbera Large Flowered Alliance salmon,Salmon,Gerbera Large Flowered Alliance Salmon
David Austin Garden Roses Edith Peach,cad4656d-3d86-4698-b6c0-45c5d561a87b,David Austin Garden Roses Edith *Fragrance* peach,Peach,David Austin Garden Roses Edith
Chrysanthemum Spray Pom Cushion Rock Burgundy,4864aa06-0c90-4d09-b01b-ea8fe8ef8e36,Chrysanthemum Spray Pom Cushion Rock burgundy,Burgundy,Chrysanthemum Spray Pom Cushion Rock
Succulents Zonnestraal Light Green,0f1f1826-3873-4d5b-aa21-5c149c011db1,Succulents (no roots) Zonnestraal green - light,Light Green,Succulents Zonnestraal
Allium Mount Everest White,f63e577b-f19a-4b1b-b238-160964453c1f,Allium Mount Everest white,White,Allium Mount Everest
Bouquets Premium Harmony Spring Regular Mixed,9481cbf6-aebd-44a9-bf9d-c21a792fb563,Bouquets Premium Harmony Spring Regular Assorted mixed,Mixed,Bouquets Premium Harmony Spring Regular
Sweet Peas Yellow,6fef1229-64e2-4549-90ab-7b13ea02e10b,Sweet Peas Yellow (Tinted/ Dyed) yellow,Yellow,Sweet Peas
Mini Calla Panther Pink,77f4e9a6-28f6-4da2-ab40-f2060541cef0,Mini Calla Pink Panther (or similar color) pink,Pink,Mini Calla Panther
Roses Hot Party Dark Pink,acf8f79a-0bc7-4c72-aca0-ab5d0463a6f0,Roses Hot Party pink - dark,Dark Pink,Roses Hot Party
Spray Roses Miss Bombastic White,64230a4b-80ad-4650-8d42-c5af46d43f90,Spray Roses Miss Bombastic white,White,Spray Roses Miss Bombastic
Roses Super Lime Lime Green,29669404-28c7-4680-973e-07e7f8db96f4,Roses Super Green lime green,Lime Green,Roses Super Lime
Mini Carnation Mixed,fb8c7591-25f2-4939-9893-cdb09466904c,Mini Carnation (Spray) Assorted (25% Red/Wh/Pk/Nov) mixed,Mixed,Mini Carnation
Iris Yellow,98d7fa3b-9f17-443b-b2a7-8087758bcf0a,Iris Yellow yellow,Yellow,Iris
Lilies La Hybrids Menorca Salmon,0dc63f1b-8b08-4c56-b48f-6f39d48f3f2c,Lilies LA Hybrids Menorca 3/5 bl salmon,Salmon,Lilies La Hybrids Menorca
Chrysanthemum Spray Pom Novelty Esponja White,4a0f0751-bef3-4341-a516-53c878f2a990,Chrysanthemum Spray Pom Novelty Esponja white,White,Chrysanthemum Spray Pom Novelty Esponja
Tulips Single Strong Love Dark Pink,08647606-a6e2-4e58-96b3-709e5e9bde25,Tulips Single Strong Love pink - dark,Dark Pink,Tulips Single Strong Love
Tulips Single Leen Of Der Mark Red,87c15e80-3b9b-4ae7-a01d-676878b73691,Tulips Single Leen Of Der Mark red - multiple,Red,Tulips Single Leen Of Der Mark
Garlands Plumosus Tree Fern Green,98bf5eef-4deb-4087-b6cd-4a74a66cdada,Garlands Plumosus & Tree Fern 15ft/ box green,Green,Garlands Plumosus Tree Fern
Roses Careless Whisper Orange,dfda0289-d9be-4b27-8eee-b784b5bd3be4,Roses Careless Whisper orange - multiple,Orange,Roses Careless Whisper
Carnation Carnation Christmas Mixed,26610405-1cfa-4c81-8c92-4667d5bcfe21,Carnation Carnation Christmas Assorted mixed,Mixed,Carnation Carnation Christmas
Carnation Extasis Copper Bordeaux Bordeaux,5f81e3d4-e368-4e63-bd84-a85bcd9952ab,Carnation Extasis Copper bordeaux,Bordeaux,Carnation Extasis Copper Bordeaux
Lilies Oriental Burgundy,f61120c2-d887-4cf3-a3e7-c9eddfa34409,Lilies Oriental Burgundy burgundy,Burgundy,Lilies Oriental
Peony Old Faithful Red,979d0804-feb6-42d9-865a-e19a5cd9ed69,Peony Old Faithful red,Red,Peony Old Faithful
Bouquets Exclusive Line Spring Cupcake Mixed,6b8c4721-a5e1-417a-b484-126f20450573,Bouquets Exclusive Line Spring White Cupcake mixed,Mixed,Bouquets Exclusive Line Spring Cupcake
Eucalyptus Purvurulenta Green,f08fe543-0b84-4521-9b5e-a5f75c0bca74,Eucalyptus Purvurulenta green,Green,Eucalyptus Purvurulenta
Gerbera Large Flowered Dark Pink,8b5d2164-f3b8-4708-a85e-dfc8160bf291,Gerbera Large Flowered Dark Pink pink - dark,Dark Pink,Gerbera Large Flowered
Dianthus Solemio Mixed,3b90e585-c576-4f13-9219-eea6dd358704,Dianthus Solemio Assorted mixed,Mixed,Dianthus Solemio
Heliconia Musa Linda Pink,422cb436-4fe5-4e25-86e6-87aff3182f27,Heliconia Musa Linda pink,Pink,Heliconia Musa Linda
Tulips Double Apres Ski White,328dc71c-3d58-4e2c-9233-2778ba6f7b0c,Tulips Double Apres ski white,White,Tulips Double Apres Ski
Hydrangea Tinted Pink,51444b12-ae50-4ce6-b1a3-b0137b0b59f7,Hydrangea tinted Hot Pink (Airbrushed) (Tinted/ Dyed) pink - multiple,Pink,Hydrangea Tinted
Phalaenopsis Anthura Seoul Purple,a5a5bdef-2e1d-4946-96f3-ab2aab731217,Phalaenopsis Anthura Seoul purple,Purple,Phalaenopsis Anthura Seoul
Chrysanthemum Spray Pom Daisy Factor Yellow,b121b1a1-c767-4b82-a8cd-4931ecd1ff01,Chrysanthemum Spray Pom Daisy Factor yellow,Yellow,Chrysanthemum Spray Pom Daisy Factor
Cymbidium Spray Mixed,eedf00df-608d-4026-b852-0deadae01a45,Cymbidium Spray Assorted (12-15 Blooms) mixed,Mixed,Cymbidium Spray
Bouquets Exclusive Line Winter Christmas Marvel Red,229cf0c9-2b18-4cab-9cd7-d8b05037559f,Bouquets Exclusive Line Winter Christmas Marvel red - multiple,Red,Bouquets Exclusive Line Winter Christmas Marvel
Tulips Double Rococo Red,f6cf6d32-0245-4e38-9cfb-395a859128a8,Tulips Double Rococo red,Red,Tulips Double Rococo
Sunflower Mini Yellow,4094dd61-066a-4fe6-8c1c-72d1e0480d07,Sunflower Mini (3.2 cm head) yellow - multiple,Yellow,Sunflower Mini
Dried And Preserved Flowers Pampas Dried Milka Lila Lila,2bab0cb3-f324-43e0-89b8-377f89369e33,Dried and Preserved Flowers Pampas Dried Milka (Dyed) lila,Lila,Dried And Preserved Flowers Pampas Dried Milka Lila
Hyacinth Splendid Cornelia Lavender,af62f0a4-acb8-4793-8c8c-93c26ad66041,Hyacinth Splendid Cornelia lavender,Lavender,Hyacinth Splendid Cornelia
Tulips Single Brownies By Vip Brown Light Brown,02846d30-703b-468d-9cb9-04fbb6b743fe,Tulips Single Brownies by VIP (Tinted/ Dyed) brown - light,Light Brown,Tulips Single Brownies By Vip Brown
Spray Roses Amazonic Bubbles Pink,e1b4872a-bbe6-4bf8-a344-021971deb6ae,Spray Roses Amazonic Bubbles pink,Pink,Spray Roses Amazonic Bubbles
Carnation Mothers Day Mixed,f1a2b6d9-58cb-4dab-83ee-ca55487acd2f,Carnation Mothers Day Assorted mixed,Mixed,Carnation Mothers Day
Roses Takini Cream,5adf27ca-e9a8-4c49-bfb0-0af2e0a93519,Roses Takini cream,Cream,Roses Takini
Larkspur Dark Dark Blue,8f276eef-43a2-4229-adaf-b30b506afbdb,Larkspur Dark Blue blue - dark,Dark Blue,Larkspur Dark
Gladiolus Large Flowered White,97cd7e02-178a-4040-9605-18c63403c2c5,Gladiolus Large Flowered White white,White,Gladiolus Large Flowered
Lilies Ot Hybrids Zambesi White,d620c33d-54fd-4267-a46c-69122a978838,Lilies OT Hybrids Zambesi 3/5 Bl white,White,Lilies Ot Hybrids Zambesi
Iris Casablanca White,869a9015-65d6-44a6-b8aa-031f1ceb14c8,Iris Casablanca white,White,Iris Casablanca
Allium Bullit Purple,99c3926e-c712-431c-9dfb-5de1090e818f,Allium Bullit purple,Purple,Allium Bullit
Gypsophilia Xlence Blue,516530a7-d11e-4fbb-8507-6a4dc8b8a7ae,Gypsophilia (Babys breath) Xlence Blue 250 gr. (tinted/ dyed) 6 st/bu blue,Blue,Gypsophilia Xlence
Hypericum Coco Diablo Red,031af7a2-61d7-477b-81e5-c959b8e18483,Hypericum Coco Diablo red,Red,Hypericum Coco Diablo
Lilac Lavaliensis Lavender,e8ccefdc-e8d8-4512-b2a0-c4927c01a0c7,Lilac Lavaliensis lavender,Lavender,Lilac Lavaliensis
Mini Calla Mothers Day Mixed,e1c023d2-5fd1-4678-974b-72a9913e9908,"Mini Calla Mothers Day Assorted (White, Pink, Burgundy, Orange, Yellow, Black, Lavender) mixed",Mixed,Mini Calla Mothers Day
Pincushion Proteas Neena Orange,0848dd9c-17d2-4b6f-88f6-16e3cfedce6f,Pincushion Proteas Neena Orange orange,Orange,Pincushion Proteas Neena
Garden Roses Kamishi Blush,4b415912-167c-4e79-9151-0e257e74669a,Garden Roses Kamishi blush,Blush,Garden Roses Kamishi
Chrysanthemum Disbuds Mixed,bdbad943-6a22-4dcc-b0e8-9d213d20429f,Chrysanthemum Disbuds/ Mums Cremon Mothers Day Assorted mixed,Mixed,Chrysanthemum Disbuds
Dendrobium Hybrid Diana White,5eabad3a-d399-4e82-bc83-8c27c7341ab8,Dendrobium Hybrid Diana (stem) white,White,Dendrobium Hybrid Diana
Roses Epoca Peach,b7a177a5-a880-47ac-b9ed-f1ddf1344c4a,Roses Epoca peach,Peach,Roses Epoca
Carnation Fall Mixed,c6a01b36-8e4d-4d46-9cf7-9afee53c4fda,Carnation Fall Assorted mixed,Mixed,Carnation Fall
Carnation Bicolor Yellow,71c4f272-d18c-4f2c-98eb-17f736ea0f0f,Carnation Bicolor Yellow yellow - multiple,Yellow,Carnation Bicolor
Peony Paul M Wild Aaa Grade Dark Pink,e4a577f6-df5b-4364-9742-205dd3ddad4d,Peony Paul M. Wild AAA grade (40mm) pink - dark,Dark Pink,Peony Paul M Wild Aaa Grade
Carnation Symphony Dark Pink,e20d8709-2147-458c-9c83-b20eb4fe3f25,Carnation Symphony Hot Pink (Assorted In Bunch) pink - dark,Dark Pink,Carnation Symphony
Gypsophilia Xlence Light Light Orange,05a28877-345c-42b3-8856-bd7d41f03779,Gypsophilia (Babys breath) Xlence Light Orange (tinted/ dyed) 6 st/bu orange - light,Light Orange,Gypsophilia Xlence Light
Agapanthus Atlantic Ocean Blue,ee4c81e9-c888-46fd-8eb0-455908c56f38,Agapanthus Atlantic Ocean blue,Blue,Agapanthus Atlantic Ocean
Palm Caryota Green,9ba85769-70fa-4ed8-ab57-420c67751890,Palm Caryota green,Green,Palm Caryota
Brunia Nodifloral Gray Gray,896df419-cfb0-4143-9f9a-454428362c66,Brunia Nodifloral (spray) gray,Gray,Brunia Nodifloral Gray
Bouquets Exclusive Line Spring Mellow Yellow,34ef29f9-9828-475e-b88f-b837a0a1ec43,Bouquets Exclusive Line Spring Mellow Yellow yellow - multiple,Yellow,Bouquets Exclusive Line Spring Mellow
Dendrobium Hybrid Ezumi Purple,c40abe2e-4d61-4514-8aa6-381b4fc13494,Dendrobium Hybrid Ezumi (stem) purple,Purple,Dendrobium Hybrid Ezumi
Chrysanthemum Disbuds Yellow,e519b160-5749-4dd9-87f9-5d68d7ff6e58,Chrysanthemum Disbuds/ Mums Spider Yellow yellow,Yellow,Chrysanthemum Disbuds
Trachelium White,100a588d-2d2c-42d1-b30b-7a5e0e07a25f,Trachelium White white,White,Trachelium
Chrysanthemum Spray Pom Daisy Balsas Purple,32917d5a-b400-48a6-9864-0f57591aaf80,Chrysanthemum Spray Pom Daisy Balsas purple,Purple,Chrysanthemum Spray Pom Daisy Balsas
Tulips Single Crown Or Dynasty Pink,6e8cedaa-7fbb-4493-bd03-8105275acd0b,Tulips Single Crown Or Dynasty pink,Pink,Tulips Single Crown Or Dynasty
Protea Blushing Bride Blush,4b3985a1-1bcb-4d8d-bae2-83b202ac7cae,Protea Blushing Bride blush,Blush,Protea Blushing Bride
Gypsophilia Xlence Light Yellow,5ba34c47-2ebb-4cf4-8453-3737cc4d6a24,Gypsophilia (Babys breath) Xlence Light Yellow 250 gr. (tinted/ dyed) 6 st/bu yellow - light,Light Yellow,Gypsophilia Xlence
Dianthus Solomio Amos Red,dc32d9c1-086d-4568-92a4-27e6f8ffa263,Dianthus Solomio Amos red,Red,Dianthus Solomio Amos
Lisianthus Double Rosanne Green,780b046a-b2af-4e8d-8955-2842266b1328,Lisianthus Double Rosanne Green green,Green,Lisianthus Double Rosanne
Garden Roses Finess Peach,e42fa7cd-cc27-4fff-95ed-28fd7715ecf1,Garden Roses Peach Finess peach,Peach,Garden Roses Finess
