mayesh_product_name,competitor_product_id,stem_length
Bouquet Shapely,6841563,50.0
Bouquet Special Lady,6841535,40.0
Bouquet Special Lady,6841536,50.0
Bouquet Strong Heart,6841537,40.0
Bouquet Strong Heart,6841538,50.0
Bouquet Succulent Large,6841594,40.0
Bouquet Succulent Large,6841596,50.0
Bouquet Succulent Medium,6841593,40.0
Bouquet Succulent Medium,6841595,50.0
Bouquet Supreme Large Program,6841543,35.0
Bouquet Supreme Large Program,6841544,50.0
Bouquet Supreme Medium Program,6841541,35.0
Bouquet Supreme Medium Program,6841542,50.0
Bouquet Supreme Small Program,6841539,35.0
Bouquet Supreme Small Program,6841540,50.0
Bouquet Tempting,6841559,40.0
Bouquet Tempting,6841560,50.0
Bouquet Tender Love,6841545,40.0
Bouquet Tender Love,6841546,50.0
Bouquet The Farm House Bouquet,6841555,40.0
Bouquet The Farm House Bouquet,6841556,50.0
Bouquet Tinted Craspedia Large,6841598,40.0
Bouquet Tinted Craspedia Large,6841600,50.0
Bouquet Tinted Craspedia Medium,6841597,40.0
Bouquet Tinted Craspedia Medium,6841599,50.0
Bouquet Victorian Medium,6841549,25.0
Bouquet Victorian Medium,6841550,50.0
Bouquet Victorian Small,6841547,25.0
Bouquet Victorian Small,6841548,50.0
Bouquet Wonder Breeze,6841551,40.0
Bouquet Wonder Breeze,6841552,50.0
Bouquet Zen Garden,6841564,40.0
Bouquet Zen Garden,6841565,50.0
Bromeliad Red,484171,
Bupleurum Green,490599,
Bupleurum Green,490599,
Calla Lily Mini Assorted,484178,40.0
Calla Lily Mini Assorted,484179,50.0
Calla Lily Mini Burgundy,484192,40.0
Calla Lily Mini Burgundy,484193,50.0
Calla Lily Mini Elegant Swan Blush/White,632859,
Calla Lily Mini Garnet Glow Hot Pink,484419,50.0
Calla Lily Mini Orange,484228,50.0
Calla Lily Mini Paco Milka Lavender,1090142,50.0
Calla Lily Mini Pink,484241,40.0
Calla Lily Mini Pink Jewel Dark Pink,1054883,40.0
Calla Lily Mini Yellow,484262,40.0
Calla Lily Mini Yellow,484263,50.0
Calla Lily Mini Yellow,484264,60.0
Calla Lily Super White,484681,80.0
Calla Lily White,484255,40.0
Calla Lily White,484256,50.0
Calla Lily White,484257,60.0
Campanula Lavender,513535,
Campanula Pink,490412,
Campanula Purple,490413,
Campanula White,490411,
Carnation Bernard Dark Pink Fancy,514190,
Carnation Bernard Dark Pink Select,514191,
Carnation Bizet Hot Pink Fancy,484789,
Carnation Bizet Hot Pink Select,484790,
Carnation Brut Blush Fancy,823384,
Carnation Brut Blush Select,823385,
Carnation Burgundy Fancy,484715,
Carnation Burgundy Select,484716,
Carnation Cream Fancy,484719,
Carnation Cream Select,484720,
Carnation Creola Antique Pink Fancy,484807,
Carnation Creola Antique Pink Select,484808,
Carnation Diletta Cream Cream Fancy,514213,
Carnation Diletta Cream Cream Select,514214,
Carnation Dollar Dark Pink Fancy,4586342,
Carnation Dollar Dark Pink Select,4586352,
Carnation Doncel Blush Fancy,514217,
Carnation Doncel Blush Select,514218,
Carnation Farida Lavender Fancy,484827,
Carnation Farida Lavender Select,484828,
Carnation Golem Purple Fancy,514234,
Carnation Golem Purple Select,514235,
Carnation Green Fancy,484727,
Carnation Green Select,484728,
Carnation Hot Pink Fancy,484731,
Carnation Hot Pink Select,484732,
Carnation Ikebana Medium Pink Fancy,644153,
Carnation Ikebana Medium Pink Select,644154,
Carnation Kaori Pink Fancy,514261,
Carnation Kaori Pink Select,514262,
Carnation Komachi Pink/White Fancy,484860,
Carnation Komachi Pink/White Select,484861,
Carnation Lege Marrone Beige Fancy,799473,
Carnation Lege Marrone Beige Select,799475,
Carnation Lege Pink Pink Fancy,484866,
Carnation Lege Pink Pink Select,484867,
Carnation Light Pink Fancy,484739,
Carnation Light Pink Select,484740,
Carnation Lizzy Peach Fancy,484875,
Carnation Lizzy Peach Select,484876,
Carnation Novelty Pack Assorted Fancy,484934,
Carnation Novelty Pack Assorted Select,484935,
Carnation Novia Peach Fancy,484937,
Carnation Novia Peach Select,514332,
Carnation Orange Fancy,484743,
Carnation Orange Hermes Orange Fancy,514238,
Carnation Orange Hermes Orange Select,514239,
Carnation Orange Select,484744,
Carnation Peach Fancy,484747,
Carnation Peach Select,484748,
Carnation Peppermint Fancy,484956,
Carnation Peppermint Select,484957,
Carnation Pink Fancy,484751,
Carnation Pink Select,484752,
Carnation Polimnia Light Yellow Fancy,484962,
Carnation Polimnia Light Yellow Select,484963,
Carnation Premier Purple/White Fancy,4586345,
Carnation Premier Purple/White Select,4586355,
Carnation Red Fancy,484759,
Carnation Red Select,484760,
Carnation Rodas Cream Fancy,1051167,
Carnation Rodas Cream Select,1051168,
Carnation Tiepolo Fuschia Lavender Fancy,514357,
Carnation Tiepolo Fuschia Lavender Select,514358,
Carnation White Fancy,484767,
Carnation White Select,484768,
Carnation Yellow Fancy,484771,
Carnation Yellow Select,484772,
CB Rose 12 Stem Assorted,513502,40.0
CB Rose 12 Stem Assorted,513503,50.0
CB Rose 12 Stem Red,513506,40.0
CB Rose 12 Stem Red,513507,50.0
