created_at,eta_date,state,competitor,grower_name,grower_country,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,product_group_key,variety_key,stem_length,color_name,competitor_product_url,competitor_product_image,available_units,stems_per_unit,stem_price,unit_price,base_price,freight_price,margin
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,1050613,Alstroemeria Galaxy Lavender Super Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Lavender,https://www.mayesh.com/alstroemeria-galaxy-lavender-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-galaxy-lavender.jpg,20,120,0.92,110.4,0.31,0.42,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,Flores Del Valle,Ecuador,14631876,Alstroemeria Green Planet Green Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Green,https://www.mayesh.com/alstroemeria-green-planet-green-select,https://www.mayesh.com/backend/files/flowers/alstroemeria_green_planet_green_1.jpg,2,100,0.76,76.0,0.32,0.25,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483770,Alstroemeria Hot Pink Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Hot Pink,https://www.mayesh.com/alstroemeria-hot-pink-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-hot-pink.jpg,20,150,0.69,103.5,0.25,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483772,Alstroemeria Hot Pink Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Hot Pink,https://www.mayesh.com/alstroemeria-hot-pink-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-hot-pink.jpg,20,150,0.75,112.5,0.29,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483771,Alstroemeria Hot Pink Super Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Hot Pink,https://www.mayesh.com/alstroemeria-hot-pink-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-hot-pink.jpg,20,120,0.92,110.4,0.35,0.36,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483774,Alstroemeria Lavender Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Lavender,https://www.mayesh.com/alstroemeria-lavender-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-lavender.jpg,20,150,0.69,103.5,0.25,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483776,Alstroemeria Lavender Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Lavender,https://www.mayesh.com/alstroemeria-lavender-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-lavender.jpg,20,150,0.75,112.5,0.29,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483775,Alstroemeria Lavender Super Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Lavender,https://www.mayesh.com/alstroemeria-lavender-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-lavender.jpg,20,120,0.92,110.4,0.35,0.36,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,484032,Alstroemeria Nadya Red Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Red,https://www.mayesh.com/alstroemeria-nadya-red-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-nadya-red.jpg,20,150,0.86,129.0,0.33,0.34,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,484034,Alstroemeria Nadya Red Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Red,https://www.mayesh.com/alstroemeria-nadya-red-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-nadya-red.jpg,18,150,0.93,139.5,0.37,0.34,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,484033,Alstroemeria Nadya Red Super Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Red,https://www.mayesh.com/alstroemeria-nadya-red-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-nadya-red.jpg,20,120,1.11,133.2,0.43,0.42,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483782,Alstroemeria Orange Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Orange,https://www.mayesh.com/alstroemeria-orange-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange-2.jpg,20,150,0.75,112.5,0.29,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,484056,Alstroemeria Orange Queen Orange Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Orange,https://www.mayesh.com/alstroemeria-orange-queen-orange-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange-queen-orange.jpg,20,150,0.8,120.0,0.29,0.34,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,484058,Alstroemeria Orange Queen Orange Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Orange,https://www.mayesh.com/alstroemeria-orange-queen-orange-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange-queen-orange.jpg,20,150,0.86,129.0,0.33,0.34,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,484057,Alstroemeria Orange Queen Orange Super Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Orange,https://www.mayesh.com/alstroemeria-orange-queen-orange-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange-queen-orange.jpg,20,120,1.04,124.8,0.39,0.42,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483784,Alstroemeria Orange Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Orange,https://www.mayesh.com/alstroemeria-orange-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange.jpg,20,150,0.82,123.0,0.33,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483783,Alstroemeria Orange Super Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Orange,https://www.mayesh.com/alstroemeria-orange-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-orange.jpg,20,120,1.02,122.4,0.41,0.36,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483790,Alstroemeria Pink Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Pink,https://www.mayesh.com/alstroemeria-pink-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-2.jpg,20,150,0.72,108.0,0.27,0.29,37.5
