competitor,competitor_product_group_name,competitor_product_id,competitor_product_name,created_at,eta_date,grower_country,product_group_key,stem_length,stem_price,unit,variety_key
Flowermarketplace,Achillea Yarrow,2160538,ACHILLEA,2025-04-09,2025-04-18,Ecuador,a457ca34-3e66-41ba-8ddc-16e793044ce3,60,10.23,Bunch,
Flowermarketplace,Alstroemerias,2160540,ALSTROEMERIA ASSORTED,2025-04-09,2025-04-18,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,5.0,Bunch,c93bbc06-a172-494d-b352-4ad50f082de1
Flowermarketplace,Alstroemerias,2160542,ALSTROEMERIA HOT PINK,2025-04-09,2025-04-18,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,8.33,Bunch,dce8402b-0c6f-425d-964a-dbd363e3c5c3
Flowermarketplace,Alstroemerias,2160544,ALSTROEMERIA LAVENDER,2025-04-09,2025-04-18,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,8.33,Bunch,766d1c52-bd9e-433d-8ad2-568178b0db70
Flowermarketplace,Alstroemerias,2160546,ALSTROEMERIA ORANGE QUEEN,2025-04-09,2025-04-18,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,8.33,Bunch,835ce0a8-e3c1-49d3-9817-ea99a6597404
Flowermarketplace,Alstroemerias,2160548,ALSTROEMERIA PRIMA DONNA,2025-04-09,2025-04-18,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,8.33,Bunch,
Flowermarketplace,Alstroemerias,2160550,ALSTROEMERIA PURPLE,2025-04-09,2025-04-18,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,8.33,Bunch,1c8d54fb-3d5c-4a4d-a381-d617a69db23f
Flowermarketplace,Alstroemerias,2160552,ALSTROEMERIA RED,2025-04-09,2025-04-18,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,8.33,Bunch,56cfbb87-dabe-4071-b3db-e2ac521a610f
Flowermarketplace,Alstroemerias,2160554,ALSTROEMERIA WHITE,2025-04-09,2025-04-18,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,8.33,Bunch,92c8392a-1f77-4782-8a7c-4082f369cdcb
Flowermarketplace,Alstroemerias,2160556,ALSTROEMERIA YELLOW,2025-04-09,2025-04-18,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,8.33,Bunch,71962e5e-eba3-4a5a-b902-efb4a4529703
Flowermarketplace,Amaranthus,2160558,AMARANTHUS HANGING ASSORTED,2025-04-09,2025-04-18,Ecuador,83a8817f-88b8-45a9-bc11-f9e3868e1882,,3.13,Stems,
Flowermarketplace,Amaranthus,2160560,AMARANTHUS HANGING GREEN,2025-04-09,2025-04-18,Ecuador,83a8817f-88b8-45a9-bc11-f9e3868e1882,,3.13,Stems,a035bd55-23af-4c21-83b0-baef07669984
Flowermarketplace,Amaranthus,2160562,AMARANTHUS HANGING RED,2025-04-09,2025-04-18,Ecuador,83a8817f-88b8-45a9-bc11-f9e3868e1882,,3.13,Stems,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722
Flowermarketplace,Anemone Coronaria,2160564,ANEMONE ASSORTED,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,17.25,Bunch,e7d33bc5-2eb2-4663-839a-8909742dde40
Flowermarketplace,Anemone Coronaria,2160566,ANEMONE BLUSH,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,22.25,Bunch,10f4a9a5-4b05-47b1-8c32-0ee8a250f3b9
Flowermarketplace,Anemone Coronaria,2236674,ANEMONE BURGUNDY,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,
Flowermarketplace,Anemone Coronaria,2160568,ANEMONE HOT PINK,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,22.25,Bunch,1da10f06-1878-4537-8646-a5074c0b5743
Flowermarketplace,Anemone Coronaria,2236623,ANEMONE LEVANTE BLUE,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,a8aeeeb0-cbf9-43f8-823d-0f4e86c5f9b4
Flowermarketplace,Anemone Coronaria,2236627,ANEMONE LEVANTE HOT PINK,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,
Flowermarketplace,Anemone Coronaria,2236625,ANEMONE LEVANTE PINK,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,
Flowermarketplace,Anemone Coronaria,2236626,ANEMONE LEVANTE RED,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,
Flowermarketplace,Anemone Coronaria,2236624,ANEMONE LEVANTE WHITE,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,7b6fb0c0-643a-436f-b712-cc5ee4ad2b8a
Flowermarketplace,Anemone Coronaria,2160570,ANEMONE MARIANNE PANDA,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,22.25,Bunch,6b49dff5-14bd-4184-b027-c46d869d7351
Flowermarketplace,Anemone Coronaria,2160572,ANEMONE NOVELTY PURPLE,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,22.25,Bunch,fb7b8740-e49b-4470-b4c5-f1eb4282b2dd
Flowermarketplace,Anemone Coronaria,2160574,ANEMONE RED,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,22.25,Bunch,f94664ba-fd1a-4c84-af02-92761b5d6451
Flowermarketplace,Anemone Coronaria,2160576,ANEMONE WINE RED,2025-04-09,2025-04-18,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,22.25,Bunch,
Flowermarketplace,Green,2162219,ARALIA EX,2025-04-09,2025-04-18,Italy,unmapped,,1.11,Stems,
Flowermarketplace,Green,2162220,ARALIA I,2025-04-09,2025-04-18,Italy,unmapped,,0.8,Stems,
Flowermarketplace,Green,2162221,ARALIA II,2025-04-09,2025-04-18,Italy,unmapped,,0.6,Stems,
Flowermarketplace,Green,2162222,ARALIA III,2025-04-09,2025-04-18,Italy,unmapped,,0.57,Stems,
Flowermarketplace,Green,2162223,ARALIA IV,2025-04-09,2025-04-18,Italy,unmapped,,0.49,Stems,
Flowermarketplace,Green,2162218,ARALIA SUPER,2025-04-09,2025-04-18,Italy,unmapped,,1.23,Stems,
Flowermarketplace,Orchid,2177154,ARANTHERA ANNE BLACK,2025-04-09,2025-04-18,Thailand,unmapped,,30.16,Bunch,bd1a20cb-d4f3-469e-abc6-e31d7af52723
Flowermarketplace,Orchid,2177155,ARANTHERA AZIMAH,2025-04-09,2025-04-18,Thailand,unmapped,,36.66,Bunch,
Flowermarketplace,Orchid,2177156,ARANTHERA JAME RED,2025-04-09,2025-04-18,Thailand,unmapped,,30.16,Bunch,3262b0be-a494-4d33-ac03-a4b3e5f08b3f
Flowermarketplace,Orchid,2177157,ARANTHERA MAGIE OIE,2025-04-09,2025-04-18,Thailand,unmapped,,30.16,Bunch,
Flowermarketplace,Green,2162224,ASPIDISTRIA,2025-04-09,2025-04-18,Italy,unmapped,100,1.43,Stems,
Flowermarketplace,Green,2162230,ASPIDISTRIA,2025-04-09,2025-04-18,Italy,unmapped,40,0.06,Stems,
Flowermarketplace,Green,2162229,ASPIDISTRIA,2025-04-09,2025-04-18,Italy,unmapped,50,0.66,Stems,
Flowermarketplace,Green,2162228,ASPIDISTRIA,2025-04-09,2025-04-18,Italy,unmapped,60,0.71,Stems,
Flowermarketplace,Green,2162227,ASPIDISTRIA,2025-04-09,2025-04-18,Italy,unmapped,70,1.03,Stems,
Flowermarketplace,Green,2162226,ASPIDISTRIA,2025-04-09,2025-04-18,Italy,unmapped,80,1.11,Stems,
Flowermarketplace,Green,2162225,ASPIDISTRIA,2025-04-09,2025-04-18,Italy,unmapped,90,1.17,Stems,
Flowermarketplace,Aster,2160614,ASTER MATSUMOTO HOT PINK,2025-04-09,2025-04-18,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,11.25,Bunch,
Flowermarketplace,Aster,2160616,ASTER MATSUMOTO PINK,2025-04-09,2025-04-18,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,11.25,Bunch,
Flowermarketplace,Aster,2160618,ASTER PINK,2025-04-09,2025-04-18,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,6.5,Bunch,2bfb011d-b16c-437b-904a-6621f75fa270
Flowermarketplace,Aster,2160620,ASTER PURPLE,2025-04-09,2025-04-18,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,6.5,Bunch,8a888e5d-5b55-41d9-863e-c26cfe3fdd78
Flowermarketplace,Aster,2160622,ASTER SOLIDAGO,2025-04-09,2025-04-18,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,6.5,Bunch,6069b93c-fe61-4d03-8ee8-8935735ac7bd
Flowermarketplace,Aster,2160624,ASTER WHITE,2025-04-09,2025-04-18,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,6.5,Bunch,94982803-c4db-4dcc-8f95-82d92ae8ab32
Flowermarketplace,Lily,2162052,Aziatic Lily Blackout,2025-04-09,2025-04-18,Ecuador,unmapped,,21.25,Bunch,
Flowermarketplace,Lily,2162053,Aziatic Lily Tress Chic,2025-04-09,2025-04-18,Ecuador,unmapped,,21.25,Bunch,
Flowermarketplace,Tropical,2261200,BIRD OF PARADISE,2025-04-09,2025-04-18,Ecuador,unmapped,,1.88,Stems,
Flowermarketplace,Tropical,2163740,BOUQUET MEDIUM CONFETI,2025-04-09,2025-04-18,Ecuador,unmapped,,24.98,Bunch,88141e1c-fac5-46b9-ad4c-29fffe88c64e
Flowermarketplace,Tropical,2163742,BOUQUET MEDIUM LUA PINK,2025-04-09,2025-04-18,Ecuador,unmapped,,24.98,Bunch,af43a742-4313-4d2c-82fd-cd8f3415eed6
Flowermarketplace,Tropical,2163744,BOUQUET MEDIUM MAUI,2025-04-09,2025-04-18,Ecuador,unmapped,,24.98,Bunch,9965d4d9-71fb-4547-bc40-2fe6577399ab
Flowermarketplace,Tropical,2163746,BOUQUET MEDIUM PARROT,2025-04-09,2025-04-18,Ecuador,unmapped,,24.98,Bunch,5ae75553-c3f8-445c-b6bb-bb374d36315f
Flowermarketplace,Tropical,2163748,BOUQUET MEDIUM RAINBOW,2025-04-09,2025-04-18,Ecuador,unmapped,,24.98,Bunch,43355b34-87a9-4a54-b60f-b020e4bf9c7c
Flowermarketplace,Bouquet,2261264,Bouquets BRIGHT STAR BQT 15ST,2025-04-09,2025-04-18,Ecuador,unmapped,,29.5,Bunch,
Flowermarketplace,Bouquet,2261262,Bouquets CANDY KISS BQT 15ST,2025-04-09,2025-04-18,Ecuador,unmapped,,22.5,Bunch,
Flowermarketplace,Bouquet,2261263,Bouquets FOREVER BQT 15ST,2025-04-09,2025-04-18,Ecuador,unmapped,,23.5,Bunch,50631ecf-8dab-45db-b587-9bf390b6e797
Flowermarketplace,Bouquet,2261267,Bouquets GREY LOOK BQT 15ST,2025-04-09,2025-04-18,Ecuador,unmapped,,25.25,Bunch,35a91371-92e8-4e3a-9dc6-1ef0689e525d
Flowermarketplace,Bouquet,2261266,Bouquets MAGIC DAY BQT 15ST,2025-04-09,2025-04-18,Ecuador,unmapped,,22.5,Bunch,
Flowermarketplace,Bouquet,2261269,Bouquets MAGICAL BQT 15ST,2025-04-09,2025-04-18,Ecuador,unmapped,,19.0,Bunch,59ea30a0-6986-4fae-ae35-5561e6b611ec
Flowermarketplace,Bouquet,2261270,Bouquets PARADISE BQT 15ST,2025-04-09,2025-04-18,Ecuador,unmapped,,25.0,Bunch,6c7f0385-a111-4ee9-94c2-d34d774472da
Flowermarketplace,Bouquet,2261271,Bouquets PEACH RAIN BQT 15ST,2025-04-09,2025-04-18,Ecuador,unmapped,,23.75,Bunch,
